,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,ornskoldsvik,100,SE,1586638201,93,35.6,63.29,18.72,6.93
1,mukhen,0,RU,1586638201,75,32.27,48.1,136.1,4.92
2,hithadhoo,0,MV,1586638081,65,84.56,-0.6,73.08,6.38
3,kikwit,76,CD,1586638201,78,73.67,-5.04,18.82,1.12
4,vao,27,NC,1586638127,74,76.19,-22.67,167.48,15.46
5,georgetown,20,MY,1586638143,88,82.4,5.41,100.34,3.36
6,hobart,75,AU,1586638037,71,51.01,-42.88,147.33,2.24
7,port elizabeth,89,ZA,1586638202,63,60.8,-33.92,25.57,6.93
8,tasiilaq,72,GL,1586638202,50,30.2,65.61,-37.64,9.17
9,yellowknife,20,CA,1586638202,52,17.6,62.46,-114.35,13.87
10,kavieng,99,PG,1586638202,73,83.55,-2.57,150.8,4.92
11,hasaki,75,JP,1586638108,100,45.0,35.73,140.83,5.82
12,bredasdorp,100,ZA,1586638202,68,69.01,-34.53,20.04,5.82
13,bluff,100,NZ,1586638203,69,55.0,-46.6,168.33,4.0
14,may pen,20,JM,1586638203,70,87.8,17.96,-77.25,19.46
15,gidam,0,IN,1586638203,23,75.63,18.98,81.4,1.52
16,canico,75,PT,1586638203,77,62.6,32.63,-16.85,13.87
17,busselton,96,AU,1586638203,62,71.01,-33.65,115.33,8.14
18,rikitea,78,PF,1586638203,74,77.04,-23.12,-134.97,1.34
19,vaini,20,TO,1586638203,78,75.2,-21.2,-175.2,2.24
20,ahipara,90,NZ,1586638088,77,65.52,-35.17,173.17,14.65
21,kodiak,90,US,1586638125,75,41.0,57.79,-152.41,17.22
22,sao filipe,86,CV,1586638111,73,75.61,14.9,-24.5,12.48
23,barrow,90,US,1586638204,84,3.2,71.29,-156.79,10.29
24,ushuaia,75,AR,1586638204,70,44.6,-54.8,-68.3,27.51
25,qaanaaq,91,GL,1586638204,75,14.05,77.48,-69.36,2.35
26,mala vyska,12,UA,1586638204,60,40.77,48.64,31.64,9.04
27,guatire,81,VE,1586638204,28,88.0,10.48,-66.54,7.0
28,avarua,96,CK,1586638204,83,84.2,-21.21,-159.78,6.93
29,guerrero negro,10,MX,1586637966,49,67.06,27.98,-114.06,17.31
30,lavrentiya,94,RU,1586638205,98,31.35,65.58,-171.0,11.3
31,kapaa,40,US,1586638066,69,79.0,22.08,-159.32,6.93
32,kaitangata,92,NZ,1586638205,93,52.0,-46.28,169.85,1.99
33,makakilo city,1,US,1586638139,69,82.4,21.35,-158.09,5.82
34,hay river,40,CA,1586637955,57,17.6,60.82,-115.8,8.05
35,castro,13,BR,1586638205,66,60.94,-24.79,-50.01,2.33
36,comodoro rivadavia,0,AR,1586638179,31,64.4,-45.87,-67.5,13.87
37,nikolskoye,5,RU,1586638112,92,30.2,59.7,30.79,4.47
38,gizo,99,SB,1586638206,78,82.36,-8.1,156.84,6.38
39,noyabrsk,100,RU,1586637993,95,35.49,63.2,75.45,16.13
40,pedro ii,98,BR,1586638206,82,72.82,-4.42,-41.46,3.4
41,langres,0,FR,1586638206,62,62.01,47.83,5.33,2.24
42,luderitz,0,NA,1586638206,100,55.4,-26.65,15.16,11.41
43,bengkulu,37,ID,1586638206,81,78.55,-3.8,102.27,3.58
44,tukrah,31,LY,1586638206,75,57.79,32.53,20.58,5.99
